Brewery Index,Beer Index,Scraping Remarks / Errors,Date of latest review,Expression Name,Producer,Bottler,Country of Origin,Drink Type,Drink Category,Age,ABV,88B Website Review Link,Official Description,Producer Website Link,Photo Link
1,34,,"Mon, 13 May 2024 12:16:19 +0000",Anchor Lite,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Pilsner - Other,,4.2% ABV,,Show Less,,https://assets.untappd.com/site/beer_logos_hd/beer-50981_ce25f_hd.jpeg
1,35,,"Mon, 27 Jul 2020 02:47:27 +0000",Tiger Radler Lime And Ginger,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Shandy / Radler,,2% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,36,,"Mon, 12 Feb 2024 15:14:55 +0000",ABC Extra Stout Ginseng,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Stout - Foreign / Export,,8% ABV,,Show Less,,https://assets.untappd.com/site/beer_logos_hd/beer-21852_fb67d_hd.jpeg
1,37,,"Mon, 06 Dec 2021 03:05:50 +0000",Tiger Black,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Dark,,5.5% ABV,,Asian Black Lager,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,38,,"Mon, 23 Jan 2023 02:52:56 +0000",Anchor Smooth Radler Lemon,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Shandy / Radler,,2% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,39,,"Sat, 27 Aug 2022 10:05:23 +0000",Tiger Radler Cucumber & Mint,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Shandy / Radler,,2% ABV,,"A blend of Tiger Beer infused with fresh cucumbers and a hint of cool mint, Tiger Radler Cucumber & Mint is light, crisp and refreshing with an ABV of 2%. Every sip is a perfect balance of sweetness and crisp refreshment.",,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,40,,"Thu, 06 Apr 2017 07:43:59 +0000",Tiger Green Tea,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Spiced / Herbed Beer,,5% ABV,,An Asian rice lager brewed with wok-roasted green tea leaves with a burst of yuzu.,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,41,,"Sat, 20 Apr 2019 12:36:14 +0000",Tiger Radler Orange Mango,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Shandy / Radler,,2% ABV,,Tiger Radler. Now with a new Limited-edition Orange Mango flavour. Made with a refreshing mix of Tiger Beer and natural fruit juice.,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,42,,"Wed, 14 Feb 2024 16:38:30 +0000",Anchor Classic,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Pilsner - Other,,3.5% ABV,,Beer produced in Hainan china.,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,43,,"Tue, 19 Mar 2024 19:43:17 +0000",Tiger Seasonal Brew - Tiger Shiok Ale,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,IPA - Imperial / Double,,6% ABV,,"Love beer and want to #supportlocal? Grab a pint of the Tiger Shiok Ale for a taste that's uniquely Singaporean. Hazy, luscious, and full of juicy hops, this double IPA is brewed to perfection with double the hops for double the shiok-ness!

The Tiger Shiok Ale is a tropical medley of pineapple and passionfruit notes combined with a malty aroma to deliver a spicy and citrusy character. Medium-full bodied, this golden ale with a creamy head is a must try!",,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,44,,"Sun, 22 Oct 2023 14:37:48 +0000",Anchor Red Crown,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - American,,4% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,45,,"Mon, 29 Apr 2024 14:47:47 +0000",Tiger Radler White Grape,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Shandy / Radler,,2% ABV,,Limited Edition Tiger Radler White Grape is a refreshing mix of Tiger Beer and natural White Grape. Perfect thirst quencher for any time of day.,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,46,,"Sun, 22 Oct 2023 14:36:19 +0000",Happy Beer,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Pale,,5% ABV,,Show Less,,https://assets.untappd.com/site/beer_logos/beer-_11235_57c2e4ec9f311d42aacbd8e55bee.jpeg
1,47,,"Sun, 22 Oct 2023 14:36:26 +0000",Jade Beer,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Pale,,5.2% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,48,,"Fri, 12 Jul 2024 16:36:55 +0000",Tiger Seasonal Brew - Red Dragon Fruit Lager,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Fruit Beer,,5% ABV,,"Sparkling red in a burst of national pride, the red larger is intensely refreshing and balanced by subtle red dragon fruit aromas and flavours. Freshly brewed to perfection, the full-flavoured larger is a treat to the senses with its refreshing tropical notes and fruity finish.",,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,49,,"Sun, 22 Oct 2023 14:36:35 +0000",Summer Ale,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Pale,,N/A ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,50,,"Wed, 17 Jul 2019 14:30:36 +0000",Touché Biere Nouvelle,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,"Homebrew, Bière de Champagne / Bière Brut",,5.5% ABV,,http://www.apb.com.sg/presenting-touché-biere-nouvelle-a-new-and-unique-drinking-expression.html,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,51,,"Mon, 11 Oct 2021 15:38:44 +0000",Raffles Light,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Pale Ale - Other,,3.5% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,52,,"Sat, 09 Dec 2023 06:54:48 +0000",Clasei,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - American,,5% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,53,,"Mon, 20 Jan 2020 07:34:55 +0000",Tiger Radler Lime And Mint,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Shandy / Radler,,2% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,54,,"Tue, 04 Jun 2024 11:27:03 +0000",Tiger Radler Mandarin Honey,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Shandy / Radler,,2% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,55,,"Sat, 20 Jul 2024 13:41:46 +0000",Tiger Lager Beer (2024),Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Other,,4.7% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,56,,"Mon, 15 Jan 2024 12:47:11 +0000",Tiger Crystal 2022,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Pale,,4.5% ABV,,Crisp,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,57,,"Thu, 11 Mar 2021 20:02:07 +0000",Tiger No Alcohol,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Non-Alcoholic Beer - Other,,0.5% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,58,,"Thu, 03 Sep 2020 17:06:53 +0000",DB Black Draught,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Dark,,4% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,59,,"Mon, 15 May 2023 16:40:41 +0000",Soju Infused Lager Wonder Melon,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Other,,4% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,60,,"Sun, 22 Oct 2023 14:37:21 +0000",Master,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - American Light,,5% ABV,,"Cambodia’s No. 1 Beer, made with Bali’s malt, German Technology and Italian produced",,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,61,,"Sat, 13 Jul 2024 10:46:47 +0000",Tiger Soju Infused Lager - Mighty Mango,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Fruit Beer,,5.5% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,62,,"Sun, 17 Sep 2017 04:45:16 +0000",Demunehe Beer,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Amber / Red,,3.1% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,63,,"Mon, 08 Apr 2024 11:52:26 +0000",Kalyani Black Label,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Strong,,8% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,64,,"Tue, 11 Jun 2024 14:08:15 +0000",Edelweiss,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Wheat Beer - Witbier / Blanche,,4.6% ABV,,"Water, Makted Wheat, Matled Barley, Yeast, Apple Juice",,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,65,,"Fri, 21 Jun 2024 11:23:45 +0000",Maison Pacific,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Belgian Blonde,,N/A ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,66,,"Thu, 16 May 2024 07:35:26 +0000",Heineken,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Other,,5% ABV,,Show Less,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
1,67,,,Bullet,Heineken Asia Pacific,,"Singapore, Central Singapore Singapore",Beer,Lager - Strong,,8% ABV,,Super strong Indian beer. Moderately bitter and crisp with aromas of grains and sweet malt. Leads to a dry finish.,,https://assets.untappd.com/site/assets/images/temp/badge-beer-default.png
2,1,,"Sun, 21 Jul 2024 11:13:06 +0000",India Pale Ale,Brewerkz,,"Singapore, Central Singapore Singapore",Beer,IPA - English,,5.9% ABV,,"A malt-forward, English-style IPA brewed with all English malts for a complexity that matches the big, herbal, floral hop character",,https://assets.untappd.com/site/beer_logos_hd/beer-2576430_cbce2_hd.jpeg
2,2,,"Fri, 19 Jul 2024 15:09:32 +0000",Golden Ale,Brewerkz,,"Singapore, Central Singapore Singapore",Beer,Blonde / Golden Ale - Other,,4.9% ABV,,"A clean, crisp, richly golden-hued ale brewed with premium British malts and specially selected hops. Delicious biscuit maltiness is accented by a smooth bitterness and finished off with a mild floral and citrus flavor",,https://assets.untappd.com/site/beer_logos_hd/beer-2576427_d3b38_hd.jpeg
2,3,,"Sun, 21 Jul 2024 12:41:59 +0000",Circuit Breaker New England IPA,Brewerkz,,"Singapore, Central Singapore Singapore",Beer,IPA - New England / Hazy,,5.3% ABV,,"""Circuit Breaker"" is a new buzzword unique only to Singapore. What was once referred to as an electrical switch now holds a brand new and memorable meaning to all. A revolutionary substyle of IPA brewed with heaps of oats, creating a soft and silky mouthfeel. Exceptionally tropical with hints of mango, cempedak and pineapple, thust us when we say that this delicious hoppy beer makes everything better",,https://assets.untappd.com/site/beer_logos_hd/beer-3915133_dc7a4_hd.jpeg
2,4,,"Sun, 21 Jul 2024 12:11:33 +0000",Oatmeal Stout,Brewerkz,,"Singapore, Central Singapore Singapore",Beer,Stout - Oatmeal,,5.5% ABV,,"This variation of the original features more intense notes of fresh roasted coffee, chocolate and caramel. Oats provide a silky smooth mouthfeel to round out the finish",,https://assets.untappd.com/site/beer_logos_hd/beer-2709431_b2307_hd.jpeg
2,5,,"Sat, 20 Jul 2024 14:14:17 +0000",Bohemian Pilsner,Brewerkz,,"Singapore, Central Singapore Singapore",Beer,Pilsner - Czech / Bohemian,,5.3% ABV,,"A clean, rich, complex maltiness with notes of honey, elegantly balanced bitterness, and an herbal hop finish. Na zdraví!",,https://assets.untappd.com/site/beer_logos_hd/beer-2616935_9a685_hd.jpeg
2,6,,"Mon, 26 Feb 2024 15:37:17 +0000",Oktoberfest,Brewerkz,,"Singapore, Central Singapore Singapore",Beer,Märzen,,5.3% ABV,,"A deep-amber delight enticing with biscuity bread crust aroma and hazelnut overtones, malty rich palate and balanced bitter aftertaste",,https://assets.untappd.com/site/beer_logos_hd/beer-78919_031d7_hd.jpeg
2,7,,"Sun, 21 Jul 2024 11:08:14 +0000",Chain Reaction IPA,Brewerkz,,"Singapore, Central Singapore Singapore",Beer,IPA - American,,5.6% ABV,,"What does beer and cycling have in common? That quenched feeling of satisfaction at the end, exactly what this beer will deliver. With intense tropical notes of passionfruit, pineapple, citrus and pine needles, this beer has resinous hoppiness and a nice lingering bitterness on the finish. It is the perfect ode to this little island's robust cyclene scene. A brew that makes it worth the ride!",,https://assets.untappd.com/site/beer_logos_hd/beer-4599921_22de0_hd.jpeg
2,8,,"Sun, 21 Jul 2024 11:11:27 +0000",4AM Double IPA,Brewerkz,,"Singapore, Central Singapore Singapore",Beer,IPA - Imperial / Double,,7.5% ABV,,"4AM is the time our hawkers get up each day to get ready. It's hard work, takes double the passion which we salute with this double IPA. Light gold with a pleasant, fruity aroma with a juicy blast of citrus, mango and white grapefruit that explodes in your mouth. The malt backbone eases the bitterness across your palate and drinks very smoothy",,https://assets.untappd.com/site/beer_logos_hd/beer-4599913_b4360_hd.jpeg
2,9,,"Sat, 20 Jul 2024 12:56:34 +0000",Red Billion Probiotic Raspberry Sour,Brewerkz,,"Singapore, Central Singapore Singapore",Beer,Sour - Fruited,,4.5% ABV,,"A stunning berry-red beer packed with a fruity freshness of tart raspberries, delivering an explosive tangy punch in every sip. Each serving contains at least 1 billion live Lactobacillus paracasei cells that help to regulate the body's immune system, neutralize toxins and viruses, and enhance gut health",,https://assets.untappd.com/site/beer_logos_hd/beer-4737138_5e9e0_hd.jpeg
2,10,,"Tue, 19 Mar 2024 01:22:32 +0000",Lightspeed Triple Jump IPA,Brewerkz,,"Singapore, Central Singapore Singapore",Beer,IPA - Triple,,10% ABV,,"A modern triple IPA brewed with intention to keep it on stealth mode. It carries a deceivingly look but be ready to experience a tropical fruit space jump with hints of coconut, mango, pineapple and dank herbal backbone. Superbly well-balanced with a high drinkability. The 3rd place winner at Brew King Singapore 2022",,https://assets.untappd.com/site/beer_logos_hd/beer-4944676_49b88_hd.jpeg
2,11,,"Wed, 17 Jul 2024 19:39:48 +0000",Earthbrew Sourdough Pale ale,Brewerkz,,"Singapore, Central Singapore Singapore",Beer,Pale Ale - Other,,4.9% ABV,,"EarthBrew Sourdough Pale Ale uses surplus sourdough bread from Baker & Cook. The result is a crisp and refreshing brew, with grapefruit-like hop flavours and bready toast notes. With delightful aromas of pink grapefruit, pine and apricot, accompanied by a cleansing bitter aftertaste",,https://assets.untappd.com/site/beer_logos_hd/beer-5477719_d9cd3_hd.jpeg
2,12,,"Sat, 20 Jul 2024 11:15:39 +0000",Lychee Amber,Brewerkz,,"Singapore, Central Singapore Singapore",Beer,Red Ale - Other,,5% ABV,,"Experience the captivating blend of lychee, bread toast, and light caramel tones in our brew. Enjoy the delightful fusion of fruity flavors, balanced with high drinkability and a touch of light bitterness. Savor the magic in every sip",,https://assets.untappd.com/site/beer_logos_hd/beer-5394279_476be_hd.jpeg
2,13,,"Sat, 20 Jul 2024 13:40:14 +0000",Black Knight Nitro Irish Stout,Brewerkz,,"Singapore, Central Singapore Singapore",Beer,Stout - Irish Dry,,4.1% ABV,,"Stuff of the legends. Dressed in blacker than black, guarding our entire lineup of beers, supremely skilled in our beer craft and capable of delivering a power sensation, perhaps better than the original nitro Irish Stout. Does this Black Knight also suffer from overconfidence and a staunch refusal never to give up but keep in fighting?",,https://assets.untappd.com/site/beer_logos_hd/beer-5298237_9644f_hd.jpeg
